"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveCopy";"RunType";"WhdloadSlaveExecInstall";"WhdloadSlaveName";"EntryName";"EntrySize";"RunFile";"WhdloadSlaveExpMem";"RunDir";"WhdloadSlaveBaseMemSize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName"
"NoError, EmulTrap";"Cross Check (c) 1994 Sunflowers - 1 disk.";"1994 Sunflowers";"whdload";"0";"Cross Check";"CrossCheck";"860788";"C\CrossCheck\CrossCheck.slave";"524288";"C\CrossCheck";"524288";"CrossCheck";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine, EmulDivZero";"Cruise For A Corpse / Croisi?re pour un cadavre ? 1991 Delphine";"1991 Delphine Software";"whdload";"0";"Cruise for a corpse / Croisiere pour un cadavre";"CruiseForACorpse";"4130772";"C\CruiseForACorpse\CruiseForACorpse.slave";"917504";"C\CruiseForACorpse";"524288";"CruiseForACorpse";"OCS/ECS";"";"";"";"";"";"A-Games"
"EmulTrap, EmulPriv, Examine";"Cruncher Factory ? 1987 Kingsoft.";"1987 Kingsoft";"whdload";"0";"Cruncher Factory";"CruncherFactory";"212762";"C\CruncherFactory\CruncherFactory.Slave";"262144";"C\CruncherFactory";"524288";"CruncherFactory";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv, ClearMem, Examine";"Crystal Dragon ?1994 Magnetic Fields";"1994 Magnetic Fields";"whdload";"0";"Crystal Dragon";"CrystalDragon";"2306721";"C\CrystalDragon\CrystalDragon.Slave";"1310720";"C\CrystalDragon";"557056";"CrystalDragon";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"Crystal Hammer ? 1987 Hannover/reLINE Software";"1987 Hannover/reLINE Software";"whdload";"0";"Crystal Hammer";"CrystalHammerV1";"342957";"C\CrystalHammerV1\CrystalHammerV1.Slave";"4096";"C\CrystalHammerV1";"524288";"CrystalHammerV1";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"Crystal Hammer ? 1987 Hannover/reLINE Software";"1987 Hannover/reLINE Software";"whdload";"0";"Crystal Hammer";"CrystalHammerV2";"480153";"C\CrystalHammerV2\CrystalHammerV2.Slave";"4096";"C\CrystalHammerV2";"524288";"CrystalHammerV2";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"CrystalKingdomDizzy";"1628451";"C\CrystalKingdomDizzy\CrystalKingdomDizzy.slave";"";"C\CrystalKingdomDizzy";"1048576";"CrystalKingdomDizzy";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, NoKbd";"Crystal Palace by Amiga Fun (c) 1991 - 1 disk.";"1991 Amiga Fun";"whdload";"0";"Crystal Palace";"CrystalPalace";"708219";"C\CrystalPalace\CrystalPalace.slave";"0";"C\CrystalPalace";"524288";"CrystalPalace";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Crystals Of Arborea by Silmarils (c) 1990 - 1 disk.";"1990 Silmarils";"whdload";"0";"Crystals Of Arborea (without fast memory) ";"CrystalsOfArborea";"803685";"C\CrystalsOfArborea\CrystalsOfArborea.Slave";"262144";"C\CrystalsOfArborea";"524288";"CrystalsOfArborea";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoKbd";"Cubix ? 1991 Media GMBH.";"1991 Media GMBH";"whdload";"0";"Cubix";"Cubix";"99667";"C\Cubix\Cubix.Slave";"131072";"C\Cubix";"524288";"Cubix";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Cubulus ?1991 Software 2000";"1991 Software 2000";"whdload";"0";"Cubulus ";"Cubulus";"762829";"C\Cubulus\Cubulus.Slave";"393216";"C\Cubulus";"524288";"Cubulus";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Curse Of Enchantia ? 1992 Core Design.";"1992 Core Design ";"whdload";"0";"Curse Of Enchantia";"CurseOfEnchantia";"4368441";"C\CurseOfEnchantia\CurseOfEnchantia.Slave";"0";"C\CurseOfEnchantia";"1048576";"CurseOfEnchantia";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv, Examine";"Curse Of Ra ? 1990 Rainbow Arts.";"1990 Rainbow Arts/Cyberstyle";"whdload";"0";"Curse Of Ra (DEBUG MODE)";"CurseOfRa";"752522";"C\CurseOfRa\CurseOfRa.slave";"262144";"C\CurseOfRa";"786432";"CurseOfRa";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Curse Of The Azure Bonds ?1990 SSI";"1990 SSI";"whdload";"0";"Curse Of The Azure Bonds";"CurseOfTheAzureBonds";"1409497";"C\CurseOfTheAzureBonds\CurseOfTheAzureBonds.Slave";"786432";"C\CurseOfTheAzureBonds";"524288";"CurseOfTheAzureBonds";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, NoDivZero";"Custodian ? 1989 Hewson.";"1989 Hewson";"whdload";"0";"Custodian";"Custodian";"350484";"C\Custodian\Custodian.Slave";"0";"C\Custodian";"524288";"Custodian";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd, ClearMem";"Cyber Assault ? 1991 Trojan.";"1991 Trojan";"whdload";"0";"Cyber Assault";"CyberAssault";"915064";"C\CyberAssault\CyberAssault.Slave";"0";"C\CyberAssault";"524288";"CyberAssault";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Cyberball by Domark/Tengen (c) 1990 - 1 disk.";"1990 Domark";"whdload";"0";"Cyberball";"Cyberball";"814671";"C\Cyberball\Cyberball.slave";"0";"C\Cyberball";"524288";"Cyberball";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"Cyberblast (c) 1990 Innerprise Software (1 disk version).";"";"whdload";"0";"";"Cyberblast";"728531";"C\Cyberblast\Cyberblast.slave";"";"C\Cyberblast";"524288";"Cyberblast";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError";"Cybercon 3 ? 1991 US Gold.";"1991 U.S.Gold";"whdload";"0";"Cybercon 3";"Cybercon3";"372018";"C\Cybercon3\Cybercon3.Slave";"65536";"C\Cybercon3";"524288";"Cybercon3";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, NoKbd, EmulPriv, ClearMem, Examine";"Cyber Cop ? 1992 Energize (Impressions)";"1992 Energize (Impressions)";"whdload";"0";"Cyber Cop.info";"CyberCop";"612359";"C\CyberCop\CyberCop.slave";"262144";"C\CyberCop";"524288";"CyberCop";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"CyberEmpires";"1860787";"C\CyberEmpires\CyberEmpires.Slave";"0";"C\CyberEmpires";"1048576";"CyberEmpires";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv, Examine";"Cyber Games ? 1995 Cyberpunk Developments.";"1995 Cyberpunk Developments";"whdload";"0";"Cyber Games";"CyberGames";"1895190";"C\CyberGames\CyberGames.Slave";"1310720";"C\CyberGames";"1572864";"CyberGames";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError";"Cybernetix (c) 1992 Vision. You can download the";"1992 Vision";"whdload";"0";"Cybernetix";"Cybernetix";"195876";"C\Cybernetix\Cybernetix.Slave";"0";"C\Cybernetix";"524288";"Cybernetix";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Cybernoid by Hewson (c) 1988 - 1 disk.";"Hewson 1988";"whdload";"0";"Cybernoid";"Cybernoid";"586663";"C\Cybernoid\Cybernoid.Slave";"0";"C\Cybernoid";"524288";"Cybernoid";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero";"Cybernoid 2 by Hewson (c) 1989 - 1 disk.";"Hewson 1989";"whdload";"0";"Cybernoid 2";"Cybernoid2";"664419";"C\Cybernoid2\Cybernoid2.Slave";"0";"C\Cybernoid2";"524288";"Cybernoid2";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, NoKbd";"Cyberpunks ? 1993 Core Design";"1993 Mutation Software & Core Design Ltd.";"whdload";"0";"Cyberpunks";"Cyberpunks";"932175";"C\Cyberpunks\Cyberpunks.Slave";"524288";"C\Cyberpunks";"524288";"Cyberpunks";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"The Paranoia Complex/Cyberworld ? 1989/1990 Magic Bytes.";"1989 Magic Bytes";"whdload";"0";"The Paranoia Complex/Cyberworld";"CyberWorld";"482906";"C\CyberWorld\CyberWorld.Slave";"0";"C\CyberWorld";"524288";"CyberWorld";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Cyberzerk by Boeder Games (c) 1992 - 1 disk.";"1993 Boeder Games";"whdload";"0";"Cyberzerk";"Cyberzerk";"988950";"C\Cyberzerk\Cyberzerk.slave";"0";"C\Cyberzerk";"524288";"Cyberzerk";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"The Cycles ? 1989 Accolade";"1989 Accolade";"whdload";"0";"The Cycles";"Cycles";"729404";"C\Cycles\Cycles.Slave";"262144";"C\Cycles";"655360";"Cycles";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Cygnus 8 ? 1996 Applaud Software";"1996 Applaud Software";"whdload";"0";"Cygnus 8";"Cygnus8";"1638271";"C\Cygnus8\Cygnus8.Slave";"786432";"C\Cygnus8";"1048576";"Cygnus8";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"Cytron (c) 1992 Psygnosis, both PAL and NTSC-version.";"";"whdload";"0";"";"Cytron";"1843520";"C\Cytron\Cytron.slave";"";"C\Cytron";"1048576";"Cytron";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero, ClearMem";"Dalek Attack by Alternative (c) 1992 - 2 disks.";"1992 Alternative";"whdload";"0";"Dalek Attack";"DalekAttack";"1814503";"D\DalekAttack\DalekAttack.Slave";"0";"D\DalekAttack";"1048576";"DalekAttack";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Daley Thompson's Olympic Challenge (c) 1988 Ocean -";"1988 Ocean";"whdload";"0";"Daley Thompson";"DaleyThompsonsOC2Disk";"1827250";"D\DaleyThompsonsOC2Disk\DaleyThompsonsOC2Disk.Slave";"4096";"D\DaleyThompsonsOC2Disk";"524288";"DaleyThompsonsOC";"OCS/ECS";"";"";"";"2Disk";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Damage ?1996 Suomi-Peli";"1996 Suomi-Peli";"whdload";"0";"Damage";"Damage";"1646316";"D\Damage\Damage.slave";"1056768";"D\Damage";"524288";"Damage";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError";"Damocles ? 1990 Novagen.";"1990 Novagen";"whdload";"0";"Mercenary 2 - Damocles";"Damocles";"499080";"D\Damocles\Damocles.slave";"0";"D\Damocles";"524288";"Damocles";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Dan Dare 3 by Virgin/Probe (c) 19?? - 1 disk.";"";"whdload";"0";"";"DanDare3";"801514";"D\DanDare3\DanDare3.slave";"";"D\DanDare3";"524288";"DanDare3";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ReqAGA, ClearMem";"Dangerous Streets by Flair/Micromania (c) 1993 - 3 disks.";"1993 Flair";"whdload";"0";"Dangerous Streets";"DangerousStreetsAGA";"2718056";"D\DangerousStreetsAGA\DangerousStreetsAGA.slave";"262144";"D\DangerousStreetsAGA";"2097152";"DangerousStreets";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv";"Darius+ ? 1989 The Edge/Taito.";"1989 The Edge/Taito";"whdload";"0";"Darius +";"Darius+";"914979";"D\Darius+\Darius+.slave";"786432";"D\Darius+";"524288";"Darius+";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv, Examine";"Dark Castle ? 1988 Three-Sixty.";"1988 Three-Sixty";"whdload";"0";"Dark Castle";"DarkCastle";"1498991";"D\DarkCastle\DarkCastle.slave";"786432";"D\DarkCastle";"524288";"DarkCastle";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Dark Century ? 1990 TITUS.";"1990 Titus";"whdload";"0";"Dark Century";"DarkCentury";"917653";"D\DarkCentury\DarkCentury.Slave";"262144";"D\DarkCentury";"1048576";"DarkCentury";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Dark Fusion (c) 1989 Esprit Software Programs Ltd/";"1989 Esprit Software Programs Ltd/Gremlin";"whdload";"0";"Dark Fusion";"DarkFusion";"268806";"D\DarkFusion\DarkFusion.Slave";"0";"D\DarkFusion";"524288";"DarkFusion";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"";"";"whdload";"0";"";"Darkman";"926520";"D\Darkman\Darkman.Slave";"0";"D\Darkman";"524288";"Darkman";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Darkmere ? 1992/93 Core Design - 4 disks";"1992/93 Core Design";"whdload";"0";"Darkmere";"Darkmere";"4916285";"D\Darkmere\Darkmere.Slave";"0";"D\Darkmere";"1048576";"Darkmere";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"The Dark Queen Of Krynn ?1992 SSI";"1992 SSI";"whdload";"0";"The Dark Queen of Krynn";"DarkQueenOfKrynn";"2337810";"D\DarkQueenOfKrynn\DarkQueenOfKrynn.Slave";"786432";"D\DarkQueenOfKrynn";"524288";"DarkQueenOfKrynn";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"DarkSeed ? 1992 CyberDreams.";"1992 CyberDreams";"whdload";"0";"DarkSeed";"DarkSeed";"5217551";"D\DarkSeed\DarkSeed.Slave";"786432";"D\DarkSeed";"589824";"DarkSeed";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Dark Side (c) 1989 Incentive Software/Domark - 1 disk.";"1989 Incentive Software/Domark";"whdload";"0";"Dark Side";"DarkSide";"391356";"D\DarkSide\DarkSide.Slave";"266240";"D\DarkSide";"524288";"DarkSide";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"DarkSpyre ? 1991 Electronic Zoo.";"1991 Electronic Zoo";"whdload";"0";"DarkSpyre";"DarkSpyre";"1663546";"D\DarkSpyre\DarkSpyre.Slave";"0";"D\DarkSpyre";"524288";"DarkSpyre";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Das Boot ? 1990 Three-Sixty";"1990 Three-Sixty";"whdload";"0";"Das Boot";"DasBoot";"991422";"D\DasBoot\DasBoot.Slave";"786432";"D\DasBoot";"524288";"DasBoot";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd, ClearMem";"DataStorm ? 1989 Visionary Design Technologies Inc.";"1989 Visionary Design Technologies Inc";"whdload";"0";"DataStorm";"Datastorm";"914407";"D\Datastorm\Datastorm.Slave";"0";"D\Datastorm";"524288";"Datastorm";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero, EmulPriv, Examine, EmulIllegal";"Dawn Patrol ?1994 Rowan Software Ltd.";"1994 Rowan Software Ltd.";"whdload";"0";"Dawn Patrol";"DawnPatrol";"1717461";"D\DawnPatrol\DawnPatrol.Slave";"1310720";"D\DawnPatrol";"524288";"DawnPatrol";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Day of the Pharaoh ? 1989 Rainbow Arts";"1989 Rainbow Arts";"whdload";"0";"Day of the Pharaoh";"DayOfThePharaoh";"1233164";"D\DayOfThePharaoh\DayOfThePharaoh.Slave";"786432";"D\DayOfThePharaoh";"524288";"DayOfThePharaoh";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Day of the Viper ? 1989 Accolade.";"1989 Accolade";"whdload";"0";"Day of the Viper";"DayOfTheViper";"643427";"D\DayOfTheViper\DayOfTheViper.Slave";"262144";"D\DayOfTheViper";"524288";"DayOfTheViper";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulTrapV, EmulChk, ClearMem, EmulDivZero";"Days of Thunder ? 1990 Mindscape.";"1990 Mindscape";"whdload";"0";"Days of Thunder";"DaysOfThunder";"521754";"D\DaysOfThunder\DaysOfThunder.Slave";"0";"D\DaysOfThunder";"524288";"DaysOfThunder";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"D-Day: The Beginning Of The End ? 1994 Impressions";"1994 Impressions";"whdload";"0";"D-Day: The Beginning Of The End";"DDayImpressions";"1416451";"D\DDayImpressions\DDayImpressions.slave";"786432";"D\DDayImpressions";"524288";"DDayImpressions";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv";"Death Bringer ? 1991 Empire.";"1991 Empire";"whdload";"0";"Death Bringer";"DeathbringerEmpire";"1842975";"D\DeathbringerEmpire\DeathbringerEmpire.Slave";"786432";"D\DeathbringerEmpire";"655360";"DeathbringerEmpire";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv";"DeathBringer ? 1989 Spotlight Software";"1989 Spotlight Software";"whdload";"0";"-) DeathBringer (-";"DeathBringerSpotlight";"2743936";"D\DeathBringerSpotlight\DeathBringerSpotlight.Slave";"262144";"D\DeathBringerSpotlight";"524288";"DeathBringerSpotlight";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Death Knights Of Krynn ?1991 SSI";"1991 SSI";"whdload";"0";"Death Knights Of Krynn";"DeathKnightsOfKrynn";"1868581";"D\DeathKnightsOfKrynn\DeathKnightsOfKrynn.Slave";"786432";"D\DeathKnightsOfKrynn";"524288";"DeathKnightsOfKrynn";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap, ReqAGA, NoKbd";"";"1995 Alternative";"whdload";"0";"Death Mask AGA";"DeathMaskAGA";"1812577";"D\DeathMaskAGA\DeathMaskAGA.Slave";"0";"D\DeathMaskAGA";"2097152";"DeathMask";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Death Sword (c) 1988 Palace/Epyx - 1 disk.";"1988 Palace/Epyx";"whdload";"0";"Death Sword";"DeathSword";"552295";"D\DeathSword\DeathSword.Slave";"262144";"D\DeathSword";"524288";"DeathSword";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Death Trap ? 1990 Anco.";"1990 Anco";"whdload";"0";"Death Trap";"DeathTrap";"918712";"D\DeathTrap\DeathTrap.Slave";"0";"D\DeathTrap";"524288";"DeathTrap";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, ClearMem";"D?but: Planet Simulation ? 1990 Pandora";"1990 Pandora";"whdload";"0";"Début: Planet Simulation";"DebutPlanetSimulation";"1009511";"D\DebutPlanetSimulation\DebutPlanetSimulation.Slave";"311296";"D\DebutPlanetSimulation";"438272";"DebutPlanetSimulation";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Deconstruction ? 1994-98 Brain-Logo";"1994-98 Brain Logo";"whdload";"0";"Deconstruction";"DeconstructionAGA";"3850458";"D\DeconstructionAGA\DeconstructionAGA.Slave";"524288";"D\DeconstructionAGA";"2097152";"Deconstruction";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd";"The Deep (c) 1988 Cream Corp/US Gold - 1 disk.";"1988 Cream Corp/US Gold";"whdload";"0";"The Deep";"Deep";"921998";"D\Deep\Deep.Slave";"4096";"D\Deep";"524288";"Deep";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"Deep Core ? 1993 ICE";"1993 ICE";"whdload";"0";"Deep Core";"DeepCore";"2448175";"D\DeepCore\DeepCore.Slave";"0";"D\DeepCore";"1044480";"DeepCore";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap";"Deep Space by Psygnosis (c) 1986 - 1 disk.";"1986 Psygnosis";"whdload";"0";"Deep Space";"DeepSpace";"803891";"D\DeepSpace\DeepSpace.slave";"0";"D\DeepSpace";"528384";"DeepSpace";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd";"Defender 2 (c) 1990 Arc - 1 disk.";"1990 Arc";"whdload";"0";"Defender 2";"Defender2";"449429";"D\Defender2\Defender2.Slave";"4096";"D\Defender2";"524288";"Defender2";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Defender Of The Crown ? 1985-1991 Cinemaware";"1986 Cinemaware/Master Designer Software";"whdload";"0";"Defender Of The Crown";"DefenderOfTheCrown";"1611421";"D\DefenderOfTheCrown\DefenderOfTheCrown.Slave";"524288";"D\DefenderOfTheCrown";"524288";"DefenderOfTheCrown";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoDivZero, ClearMem";"";"1994 Giles.F.McArdell";"whdload";"0";"Defender";"DefenderRatsoft";"390008";"D\DefenderRatsoft\DefenderRatsoft.slave";"524288";"D\DefenderRatsoft";"524288";"DefenderRatsoft";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Defenders of the Earth ? 1990 Hi-Tec.";"Enigma Variations";"whdload";"0";"Defenders Of The Earth";"DefendersOfTheEarth";"849659";"D\DefendersOfTheEarth\DefendersOfTheEarth.slave";"0";"D\DefendersOfTheEarth";"524288";"DefendersOfTheEarth";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"Deflektor (c) 1988 Gremlin.";"1988 Gremlin";"whdload";"0";"Deflektor";"Deflektor";"409355";"D\Deflektor\Deflektor.slave";"0";"D\Deflektor";"524288";"Deflektor";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"D?j? Vu II: Lost in Las Vegas!! ?1989 Mindscape";"1989 Mindscape";"whdload";"0";"Déjà Vu II: Lost in Las Vegas!!";"DejaVu2LostInLasVegas";"749727";"D\DejaVu2LostInLasVegas\DejaVu2LostInLasVegas.Slave";"327680";"D\DejaVu2LostInLasVegas";"524288";"DejaVu2LostInLasVegas";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"D?j? Vu: A Nightmare Comes True!! ?1986 Mindscape";"1986 Mindscape";"whdload";"0";"Déjà Vu: A Nightmare Comes True!!";"DejaVuANightmareComesTrue";"667028";"D\DejaVuANightmareComesTrue\DejaVuANightmareComesTrue.Slave";"262144";"D\DejaVuANightmareComesTrue";"524288";"DejaVuANightmareComesTrue";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, ClearMem";"Deliverance ? 1993 21st Century Entertainment";"1990 21st Century Entertainment";"whdload";"0";"Deliverance";"Deliverance";"2027413";"D\Deliverance\Deliverance.slave";"0";"D\Deliverance";"1048576";"Deliverance";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, EmulPriv";"Arcadia Systems version of Delta Command game";"1989 Arcadia Systems";"whdload";"0";"Delta Command (Arcadia)";"DeltaCommandArcadia";"1194742";"D\DeltaCommandArcadia\DeltaCommandArcadia.Slave";"1458176";"D\DeltaCommandArcadia";"524288";"DeltaCommandArcadia";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, Req68020, EmulPriv, Examine";"Deluxe Galaga ? 1995 Edgar M.Vigdal";"1995 Edgar M.Vigdal.";"whdload";"0";"Deluxe Galaga (AGA) v2.6";"DeluxeGalagaAGA";"1661287";"D\DeluxeGalagaAGA\DeluxeGalagaAGA.Slave";"1048576";"D\DeluxeGalagaAGA";"2097152";"DeluxeGalaga";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, Req68020, EmulPriv, Examine";"Deluxe Pacman ? 1995 Edgar M.Vigdal";"1995 Edgar M.Vigdal.";"whdload";"0";"Deluxe Pacman (AGA) v1.6";"DeluxePacmanAGA";"760336";"D\DeluxePacmanAGA\DeluxePacmanAGA.Slave";"1048576";"D\DeluxePacmanAGA";"1048576";"DeluxePacman";"AGA";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Strip Poker II ? 1988 Artworx";"1988 Artworx";"whdload";"0";"Strip Poker 2";"DeluxeStripPoker";"755723";"D\DeluxeStripPoker\DeluxeStripPoker.Slave";"262144";"D\DeluxeStripPoker";"524288";"DeluxeStripPoker";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Strip Poker III ? 1991 Artworx";"1991 Artworx";"whdload";"0";"Strip Poker 3";"DeluxeStripPoker2";"1686576";"D\DeluxeStripPoker2\DeluxeStripPoker2.Slave";"786432";"D\DeluxeStripPoker2";"524288";"DeluxeStripPoker2";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Strip Poker III ? 1991 Artworx";"1991 Artworx";"whdload";"0";"Strip Poker 3";"DeluxeStripPoker2&DDisks";"6248667";"D\DeluxeStripPoker2&DDisks\DeluxeStripPoker2&DDisks.Slave";"786432";"D\DeluxeStripPoker2&DDisks";"524288";"DeluxeStripPoker2";"OCS/ECS";"";"";"";"";"DDisks";"A-Games"
"NoError, EmulTrap, ClearMem";"Demon Blue ? 1992 MicroValue.";"1992 MicroValue";"whdload";"0";"Demon Blue";"DemonBlue";"917177";"D\DemonBlue\DemonBlue.slave";"0";"D\DemonBlue";"524288";"DemonBlue";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, ClearMem, Examine";"Demoniak ?1991 Palace Software";"1991 Palace Software";"whdload";"0";"Demoniak";"Demoniak";"1024025";"D\Demoniak\Demoniak.Slave";"786432";"D\Demoniak";"524288";"Demoniak";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulPriv, Examine";"Demon's Tomb: The Awakening ? 1989 Melbourne House.";"1989 Melbourne House";"whdload";"0";"Demon";"DemonsTombTheAwakening";"755173";"D\DemonsTombTheAwakening\DemonsTombTheAwakening.Slave";"262144";"D\DemonsTombTheAwakening";"524288";"DemonsTombTheAwakening";"OCS/ECS";"";"";"";"";"";"A-Games"
"Disk, NoError, EmulTrap";"Denaris ? 1989 Factor 5.";"1990 Factor 5";"whdload";"0";"Denaris";"Denaris2Disk";"1557853";"D\Denaris2Disk\Denaris2Disk.Slave";"0";"D\Denaris2Disk";"524288";"Denaris";"OCS/ECS";"";"";"";"2Disk";"";"A-Games"
"NoError, ClearMem";"Denjoy ?1991 Johnannes Lipp";"1991 Johannes Lipp";"whdload";"0";"Denjoy";"Denjoy";"441374";"D\Denjoy\Denjoy.Slave";"131072";"D\Denjoy";"397312";"Denjoy";"OCS/ECS";"";"";"";"";"";"A-Games"
"NoError, EmulTrap, NoKbd, ClearMem";"Dennis ? 1993 Ocean.";"1993 Ocean";"whdload";"0";"Dennis AGA";"DennisAGA";"1436009";"D\DennisAGA\DennisAGA.slave";"0";"D\DennisAGA";"2097152";"Dennis";"AGA";"";"";"";"";"";"A-Games"
